,ModelIteration,KernelStructure,BIC,"(1, ""'kernels.0.raw_outputscale'"")","(1, ""'raw_outputscale'"")","(3, ""'base_kernel.kernels.0.raw_lengthscale'"")","(3, ""'kernels.0.base_kernel.kernels.0.raw_lengthscale'"")","(5, ""'base_kernel.kernels.0.raw_period'"")","(5, ""'kernels.0.base_kernel.kernels.0.raw_period'"")","(7, ""'base_kernel.kernels.1.raw_lengthscale'"")","(7, ""'kernels.0.base_kernel.kernels.1.raw_lengthscale'"")","(9, nan)","(9, ""'kernels.1.raw_outputscale'"")","(11, nan)","(11, ""'kernels.1.base_kernel.kernels.0.raw_lengthscale'"")","(11, ""'kernels.1.base_kernel.raw_lengthscale'"")","(13, nan)","(13, ""'kernels.1.base_kernel.kernels.0.raw_alpha'"")","(13, ""'kernels.1.base_kernel.raw_alpha'"")","(15, nan)","(15, ""'kernels.1.base_kernel.kernels.1.raw_lengthscale'"")","(15, ""'kernels.2.raw_outputscale'"")","(17, nan)","(17, ""'kernels.1.base_kernel.kernels.1.raw_alpha'"")","(17, ""'kernels.2.base_kernel.raw_lengthscale'"")","(17, ""'kernels.2.base_kernel.raw_offset'"")","(19, nan)","(19, ""'kernels.1.base_kernel.kernels.2.raw_lengthscale'"")","(19, ""'kernels.1.base_kernel.kernels.2.raw_offset'"")","(19, ""'kernels.2.base_kernel.raw_alpha'"")","(19, ""'kernels.2.base_kernel.raw_period'"")","(19, ""'kernels.2.base_kernel.raw_period_length'"")","(19, ""'kernels.2.raw_outputscale'"")","(21, nan)","(21, ""'kernels.1.base_kernel.kernels.2.raw_alpha'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period'"")","(21, ""'kernels.1.base_kernel.kernels.2.raw_period_length'"")","(21, ""'kernels.2.base_kernel.raw_lengthscale'"")","(21, ""'kernels.2.base_kernel.raw_offset'"")","(23, nan)","(23, ""'kernels.2.base_kernel.raw_alpha'"")","(23, ""'kernels.2.base_kernel.raw_period'"")","(23, ""'kernels.2.base_kernel.raw_period_length'"")"
10,"(2, 7)",AR2*RFF+RQ+Min,-2264.805419921875,219.30026938076372,,,1.7575078754927274,,3.789431586999584,,7359.357506010268,,33.52062287154021,,,5292.282036957918,,,4218.7924768659805,,,22567.963671931513,,,,1.2322729721458423,,,,,,,,,,,,,,,,,
11,"(2, 8)",AR2*RFF+RQ+Per_Arb,-1130.2950439453125,309.1275077351817,,,217.2753067082829,,6.3853227772784455,,7289.452390953346,,17511.484328941064,,,18.880116441735517,,,13.583439791092166,,,34.62128473542355,,,1310.5533296620404,,,,,,,1854.7621610429553,,,,,,,,,,,
12,"(2, 9)",AR2*RFF+RQ+Per_Year,-2257.77001953125,146.75299160568804,,,2.68669807476302,,2.899845805777996,,7122.188392215306,,24087.149145620842,,,26.301527268908643,,,5.001974837923491,,,56.672753140882214,,,8490.434035407172,,,,,,,365.65334047653056,,,,,,,,,,,
13,"(2, 10)",AR2*RFF+RQ+Per_Season,-2232.176025390625,156.02663551215772,,,2.7550814763677343,,2.913448097701702,,7177.525000678169,,25161.997883832013,,,32.56392885523814,,,4.677077435508923,,,30.148348863478063,,,3145.5265045166016,,,,,,,121.06109382708868,,,,,,,,,,,
14,"(2, 11)",AR2*RFF+RQ+Per_Month,-2269.396728515625,162.52384807445387,,,2.2618720377278,,3.023692763203548,,7186.674899065936,,24229.29663707592,,,39.09431607910881,,,4.4313636752604335,,,51.955031264159416,,,6889.357061668678,,,,,,,47.36931851561423,,,,,,,,,,,
15,"(2, 12)",AR2*RFF+RQ+Per_Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(2, 13)",AR2*RFF+RQ+Per_Unbounded,-2285.745361328125,258.5564242027424,,,1.5367294772769566,,4.553562640177983,,7128.328455607097,,1.960105758263833,,,12203.110311013681,,,54.78217578210213,,,36.979832738637924,,,42.334206144015,,,,,,,2551.5690609614057,,,,,,,,,,,
17,"(2, 14)",AR2*RFF+RQ*RFF,-2299.498046875,174.72810664883366,,,1.9338543448183272,,3.1982542203946247,,7151.060630445128,,24148.89195025409,,47.85072238743305,,,3.822547020735564,,,11902.839214466238,,,,,,,,,,,,,,,,,,,,,,
18,"(2, 15)",AR2*RFF+RQ*RQ,-2316.3603515625,144.81417980238243,,,2.2994695602467767,,3.014253657932083,,7069.147405271177,,23355.352800722478,,31.682063466972775,,,2.38309308031091,,,31.682063466972775,,,2.38309308031091,,,,,,,,,,,,,,,,,,,
19,"(3, 0)",AR2*RFF+RQ*RQ,-2264.361083984375,177.4862639948174,,,2.16162936296314,,3.1444070541679308,,7116.9132603539365,,24966.38486028601,,73.13793667709386,,,2.0452532901739082,,,73.13793667709386,,,2.0452532901739082,,,,,,,,,,,,,,,,,,,
20,"(3, 1)",AR2*RFF+RQ*RQ+RQ,-2218.364501953125,111.2892359506201,,,3.936140711108844,,2.694895163419898,,7099.324508808278,,28422.893853081598,,29.801807664058828,,,3.017963574819819,,,29.801807664058828,,,3.017963574819819,,,,,,,,,221.62962424755096,,,,,8064.225106133355,,,4058.443856910423,,
21,"(3, 2)",AR2*RFF+RQ*RQ+RBF,-2290.088623046875,166.44933484660254,,,2.0261653512026427,,3.1078849147177405,,7108.287933208325,,25156.658934416595,,58.963304049438904,,,1.9493950224585004,,,58.963304049438904,,,1.9493950224585004,,,,,,,,,176.15480804001845,,,,,9297.762302681253,,,,,
22,"(3, 3)",AR2*RFF+RQ*RQ+Mat_2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(3, 4)",AR2*RFF+RQ*RQ+Mat_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(3, 5)",AR2*RFF+RQ*RQ+Mat_0.5,-1417.969482421875,152.12270413725466,,,8170.928056504991,,7.877340540427853,,10047.117979685467,,144.84103918517079,,5678.879274650856,,,4113.17623534026,,,5678.879274650856,,,4113.17623534026,,,,,,,,,7264.368471357558,,,,,104.58750877777736,,,,,
25,"(3, 6)",AR2*RFF+RQ*RQ+AR2,-2262.44482421875,30.97015899143837,,,14.523263597378024,,4.184435302322662,,7005.155145009359,,22617.97128832782,,42.10182439342693,,,3.7411737165379306,,,42.10182439342693,,,3.7411737165379306,,,,,,,,,96.62728020328063,,,,,2.475938021239859,,,,2.398766357589651,
26,"(3, 7)",AR2*RFF+RQ*RQ+Min,-2252.738037109375,219.40978607424984,,,1.7829521991381492,,3.7721344061471798,,7358.149498550981,,42.06230970113366,,4889.963503237124,,,4202.469213838931,,,4889.963503237124,,,4202.469213838931,,,,,,,,,22784.067109002008,,,,,,1.3247382361096918,,,,
