,add_scale1_K1,scale2_mult_K2,scale2_mult_K3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
24,Mat1.5,Per_Arb,RBF,3010.300048828125,0.010081634856760502,1.0077193975448608,1.1212414503097534,1.0781655311584473
25,Mat1.5,Per_Week,RBF,4672.14892578125,0.1410762518644333,1.0042412281036377,0.38943392038345337,0.0017293374985456467
26,Mat1.5,Per_Month,RBF,2490.795166015625,0.01013833750039339,0.02395601011812687,0.20652945339679718,0.005714275408536196
27,Mat1.5,Per_Arb,Mat0.5,-1734.705810546875,0.7982399463653564,0.02766309678554535,1.5734227895736694,1.5610240697860718
28,Mat1.5,Per_Week,Mat0.5,-250.05397033691406,0.5937296152114868,0.05509408563375473,4.481592178344727,0.0015818853862583637
29,Mat1.5,Per_Month,Mat0.5,-516.528564453125,0.6020079255104065,0.04918937757611275,0.48492497205734253,0.007929261773824692
30,Mat1.5,Per_Arb,Mat1.5,2968.091064453125,0.010041993111371994,0.4557214677333832,1.2783757448196411,1.3162291049957275
31,Mat1.5,Per_Week,Mat1.5,1809.703369140625,0.010104062967002392,0.03357033431529999,3.1179561614990234,0.0014976328238844872
32,Mat1.5,Per_Month,Mat1.5,1427.4617919921875,0.011543653905391693,0.020217014476656914,0.3270949721336365,0.006560905370861292
33,Mat1.5,Per_Arb,Mat2.5,2527.500244140625,0.010075203143060207,0.4962056875228882,1.1588952541351318,1.1947180032730103
34,Mat1.5,Per_Week,Mat2.5,1960.806396484375,0.010153603740036488,0.03245283290743828,3.1130661964416504,0.0025258325040340424
35,Mat1.5,Per_Month,Mat2.5,1303.1673583984375,0.01087755523622036,0.033378683030605316,0.27123451232910156,0.006386713590472937
36,Mat2.5,Per_Arb,RBF,395.543212890625,0.02505646087229252,1.2293064594268799,1.5597046613693237,1.2353554964065552
37,Mat2.5,Per_Week,RBF,368.221435546875,0.02510107308626175,1.0376014709472656,0.6975381374359131,0.00267958827316761
38,Mat2.5,Per_Month,RBF,1037.097900390625,0.025748902931809425,0.0068199364468455315,0.18038016557693481,0.008830550126731396
39,Mat2.5,Per_Arb,Mat0.5,-1398.5711669921875,0.8312406539916992,0.025352388620376587,1.574531078338623,1.5641658306121826
40,Mat2.5,Per_Week,Mat0.5,-489.410400390625,0.4732789695262909,0.03457890823483467,5.193638801574707,0.0019069791305810213
41,Mat2.5,Per_Month,Mat0.5,-402.086669921875,0.5551525950431824,0.044332440942525864,0.34304794669151306,0.007535821758210659
42,Mat2.5,Per_Arb,Mat1.5,1129.8270263671875,1.2627047300338745,0.010067833587527275,0.10659222304821014,0.06898874044418335
43,Mat2.5,Per_Week,Mat1.5,1119.735595703125,0.025515420362353325,0.013156279921531677,3.9876530170440674,0.0034020026214420795
44,Mat2.5,Per_Month,Mat1.5,699.712646484375,0.027418028563261032,0.015047600492835045,0.8045780658721924,0.005754159763455391
45,Mat2.5,Per_Arb,Mat2.5,-2027.209716796875,3.68247127532959,0.034286241978406906,0.0004706419713329524,0.08103854209184647
46,Mat2.5,Per_Week,Mat2.5,1056.807861328125,0.0251203253865242,0.030425086617469788,3.534078598022461,0.002220787340775132
47,Mat2.5,Per_Month,Mat2.5,1630.3411865234375,0.025780845433473587,0.03096597269177437,0.5065523386001587,0.005127672106027603
