,Name1,Name2,Name3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
33,Mat1.5,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x0000026292B89E50>,0.010075687430799007,0.6972755789756775,1.448525309562683,1.4518390893936157
34,Mat1.5,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x0000026292BF1810>,0.010093159042298794,0.027379024773836136,2.672105073928833,0.0021268439013510942
35,Mat1.5,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x0000026292C4DB80>,0.010541112162172794,0.02546750195324421,0.07731305807828903,0.009812654927372932
36,Mat2.5,Per_Arb,RBF,<built-in method item of Tensor object at 0x0000026292CB6680>,0.025058168917894363,1.1653953790664673,1.355982780456543,1.1069486141204834
37,Mat2.5,Per_Week,RBF,<built-in method item of Tensor object at 0x0000026292D11DB0>,0.025060540065169334,3.566093921661377,2.829113483428955,0.001281466451473534
38,Mat2.5,Per_Month,RBF,<built-in method item of Tensor object at 0x0000026292D795E0>,0.025539137423038483,0.0042960201390087605,0.24930532276630402,0.007127115968614817
39,Mat2.5,Per_Arb,Mat0.5,<built-in method item of Tensor object at 0x0000026292DD6E50>,0.7233567833900452,0.025162581354379654,1.5843366384506226,1.5778193473815918
40,Mat2.5,Per_Week,Mat0.5,<built-in method item of Tensor object at 0x0000026292E3C2C0>,0.6953089833259583,0.020044442266225815,5.892687797546387,0.0021135476417839527
41,Mat2.5,Per_Month,Mat0.5,<built-in method item of Tensor object at 0x0000026292E9CC70>,0.8099329471588135,0.007165901362895966,0.06825491040945053,0.0072322385385632515
42,Mat2.5,Per_Arb,Mat1.5,<built-in method item of Tensor object at 0x0000026292F02630>,1.2666627168655396,0.010072077624499798,0.022579047828912735,0.022319898009300232
43,Mat2.5,Per_Week,Mat1.5,<built-in method item of Tensor object at 0x0000026292F60D10>,0.025099294260144234,1.4139652252197266,3.290126085281372,0.0010442533530294895
44,Mat2.5,Per_Month,Mat1.5,<built-in method item of Tensor object at 0x0000026292FC7630>,0.03126660734415054,0.011274139396846294,0.13382938504219055,0.007235774304717779
45,Mat2.5,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x0000026293023C70>,3.9512054920196533,0.027853040024638176,0.0006885655457153916,0.06978250294923782
46,Mat2.5,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x000002629308C5E0>,0.025062065571546555,1.2448334693908691,3.367250680923462,0.0009978614980354905
47,Mat2.5,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x00000262930E98B0>,0.025250200182199478,0.02547975815832615,0.19834837317466736,0.007243795320391655
