,time,wind_dir,wind_spd,gust,wave_height,dominant_wpd,average_wpd,mean_wave_dir,air_pressure,air_temperature,sea_surface_temperature,dewpt_temperature,visibility,water_level
64,1514881792.0,999.0,99.0,99.0,0.4099999964237213,15.380000114440918,6.349999904632568,229.0,9999.0,999.0,16.5,999.0,99.0,99.0
65,1514883584.0,999.0,99.0,99.0,0.4399999976158142,16.670000076293945,6.590000152587891,243.0,9999.0,999.0,16.5,999.0,99.0,99.0
66,1514885376.0,999.0,99.0,99.0,0.44999998807907104,12.5,6.46999979019165,229.0,9999.0,999.0,16.5,999.0,99.0,99.0
67,1514887168.0,999.0,99.0,99.0,0.4399999976158142,15.380000114440918,7.03000020980835,227.0,9999.0,999.0,16.5,999.0,99.0,99.0
68,1514888960.0,999.0,99.0,99.0,0.4099999964237213,12.5,6.880000114440918,210.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
69,1514890752.0,999.0,99.0,99.0,0.44999998807907104,15.380000114440918,6.96999979019165,233.0,9999.0,999.0,16.5,999.0,99.0,99.0
70,1514892544.0,999.0,99.0,99.0,0.46000000834465027,15.380000114440918,7.090000152587891,224.0,9999.0,999.0,16.5,999.0,99.0,99.0
71,1514894336.0,999.0,99.0,99.0,0.44999998807907104,12.5,7.360000133514404,216.0,9999.0,999.0,16.5,999.0,99.0,99.0
72,1514896256.0,999.0,99.0,99.0,0.4099999964237213,15.380000114440918,7.050000190734863,217.0,9999.0,999.0,16.5,999.0,99.0,99.0
73,1514898048.0,999.0,99.0,99.0,0.4000000059604645,12.5,7.389999866485596,222.0,9999.0,999.0,16.5,999.0,99.0,99.0
74,1514899840.0,999.0,99.0,99.0,0.4099999964237213,11.760000228881836,7.710000038146973,213.0,9999.0,999.0,16.5,999.0,99.0,99.0
75,1514901632.0,999.0,99.0,99.0,0.4099999964237213,15.380000114440918,7.909999847412109,229.0,9999.0,999.0,16.5,999.0,99.0,99.0
76,1514903424.0,999.0,99.0,99.0,0.38999998569488525,15.380000114440918,7.71999979019165,231.0,9999.0,999.0,16.5,999.0,99.0,99.0
77,1514907008.0,999.0,99.0,99.0,0.4399999976158142,15.380000114440918,7.960000038146973,226.0,9999.0,999.0,16.5,999.0,99.0,99.0
78,1514908800.0,999.0,99.0,99.0,0.49000000953674316,16.670000076293945,8.5,243.0,9999.0,999.0,16.5,999.0,99.0,99.0
79,1514910592.0,999.0,99.0,99.0,0.47999998927116394,16.670000076293945,8.079999923706055,227.0,9999.0,999.0,16.5,999.0,99.0,99.0
80,1514912384.0,999.0,99.0,99.0,0.5199999809265137,15.380000114440918,8.380000114440918,222.0,9999.0,999.0,16.5,999.0,99.0,99.0
81,1514914176.0,999.0,99.0,99.0,0.4699999988079071,15.380000114440918,7.460000038146973,227.0,9999.0,999.0,16.5,999.0,99.0,99.0
82,1514915968.0,999.0,99.0,99.0,0.47999998927116394,15.380000114440918,7.389999866485596,319.0,9999.0,999.0,16.5,999.0,99.0,99.0
83,1514917760.0,999.0,99.0,99.0,0.49000000953674316,15.380000114440918,6.869999885559082,254.0,9999.0,999.0,16.5,999.0,99.0,99.0
84,1514919552.0,999.0,99.0,99.0,0.47999998927116394,15.380000114440918,6.760000228881836,265.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
85,1514921344.0,999.0,99.0,99.0,0.4699999988079071,15.380000114440918,7.329999923706055,248.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
86,1514923264.0,999.0,99.0,99.0,0.49000000953674316,15.380000114440918,7.989999771118164,248.0,9999.0,999.0,16.799999237060547,999.0,99.0,99.0
87,1514925056.0,999.0,99.0,99.0,0.49000000953674316,15.380000114440918,8.109999656677246,243.0,9999.0,999.0,16.799999237060547,999.0,99.0,99.0
88,1514926848.0,999.0,99.0,99.0,0.47999998927116394,15.380000114440918,8.65999984741211,240.0,9999.0,999.0,16.700000762939453,999.0,99.0,99.0
89,1514928640.0,999.0,99.0,99.0,0.4699999988079071,14.289999961853027,8.09000015258789,245.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
90,1514930432.0,999.0,99.0,99.0,0.5,15.380000114440918,8.930000305175781,247.0,9999.0,999.0,16.700000762939453,999.0,99.0,99.0
91,1514932224.0,999.0,99.0,99.0,0.47999998927116394,14.289999961853027,8.399999618530273,251.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
92,1514935808.0,999.0,99.0,99.0,0.5600000023841858,14.289999961853027,5.630000114440918,261.0,9999.0,999.0,16.600000381469727,999.0,99.0,99.0
93,1514937600.0,999.0,99.0,99.0,0.5400000214576721,13.329999923706055,5.409999847412109,258.0,9999.0,999.0,16.5,999.0,99.0,99.0
94,1514939392.0,999.0,99.0,99.0,0.5899999737739563,15.380000114440918,5.340000152587891,237.0,9999.0,999.0,16.5,999.0,99.0,99.0
95,1514941184.0,999.0,99.0,99.0,0.5600000023841858,14.289999961853027,4.630000114440918,261.0,9999.0,999.0,16.5,999.0,99.0,99.0
96,1514942976.0,999.0,99.0,99.0,0.6299999952316284,15.380000114440918,4.949999809265137,237.0,9999.0,999.0,16.5,999.0,99.0,99.0
97,1514944768.0,999.0,99.0,99.0,0.6499999761581421,14.289999961853027,4.869999885559082,261.0,9999.0,999.0,16.399999618530273,999.0,99.0,99.0
98,1514946560.0,999.0,99.0,99.0,0.6299999952316284,14.289999961853027,4.769999980926514,247.0,9999.0,999.0,16.399999618530273,999.0,99.0,99.0
99,1514948352.0,999.0,99.0,99.0,0.5899999737739563,15.380000114440918,5.0,224.0,9999.0,999.0,16.5,999.0,99.0,99.0
100,1514950144.0,999.0,99.0,99.0,0.5799999833106995,14.289999961853027,5.440000057220459,223.0,9999.0,999.0,16.399999618530273,999.0,99.0,99.0
101,1514951936.0,999.0,99.0,99.0,0.5899999737739563,14.289999961853027,6.070000171661377,251.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
102,1514953856.0,999.0,99.0,99.0,0.5400000214576721,14.289999961853027,5.869999885559082,257.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
103,1514955648.0,999.0,99.0,99.0,0.5899999737739563,14.289999961853027,6.159999847412109,237.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
104,1514957440.0,999.0,99.0,99.0,0.5299999713897705,14.289999961853027,5.519999980926514,260.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
105,1514959232.0,999.0,99.0,99.0,0.5600000023841858,14.289999961853027,6.150000095367432,244.0,9999.0,999.0,16.200000762939453,999.0,99.0,99.0
106,1514961024.0,999.0,99.0,99.0,0.6100000143051147,13.329999923706055,6.699999809265137,261.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
107,1514962816.0,999.0,99.0,99.0,0.5600000023841858,13.329999923706055,6.75,265.0,9999.0,999.0,16.200000762939453,999.0,99.0,99.0
108,1514964608.0,999.0,99.0,99.0,0.6600000262260437,14.289999961853027,8.25,267.0,9999.0,999.0,16.200000762939453,999.0,99.0,99.0
109,1514966400.0,999.0,99.0,99.0,0.6200000047683716,14.289999961853027,8.319999694824219,252.0,9999.0,999.0,16.200000762939453,999.0,99.0,99.0
110,1514968192.0,999.0,99.0,99.0,0.6600000262260437,14.289999961853027,8.880000114440918,258.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
111,1514969984.0,999.0,99.0,99.0,0.5899999737739563,13.329999923706055,8.59000015258789,264.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
112,1514971776.0,999.0,99.0,99.0,0.6000000238418579,13.329999923706055,7.989999771118164,267.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
113,1514973568.0,999.0,99.0,99.0,0.6100000143051147,14.289999961853027,6.880000114440918,244.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
114,1514975360.0,999.0,99.0,99.0,0.5699999928474426,11.760000228881836,6.230000019073486,264.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
115,1514977152.0,999.0,99.0,99.0,0.6399999856948853,14.289999961853027,6.420000076293945,245.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
116,1514978944.0,999.0,99.0,99.0,0.6800000071525574,13.329999923706055,7.130000114440918,260.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
117,1514980864.0,999.0,99.0,99.0,0.6000000238418579,12.5,6.789999961853027,272.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
118,1514982656.0,999.0,99.0,99.0,0.5699999928474426,12.5,6.800000190734863,275.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
119,1514984448.0,999.0,99.0,99.0,0.6299999952316284,14.289999961853027,7.590000152587891,236.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
120,1514986240.0,999.0,99.0,99.0,0.6399999856948853,12.5,7.820000171661377,271.0,9999.0,999.0,16.299999237060547,999.0,99.0,99.0
