,Kernel Name,s1_ls_converted,s2_ls_converted,pk1_ls_converted,pk1_pr_converted,pk2_ls_converted,pk2_pr_converted,s3_ls_converted,s1_ls_raw,s2_ls_raw,pk1_ls_raw,pk1_pr_raw,pk2_ls_raw,pk2_pr_raw,s3_ls_raw,add_scale2_K2,add_period1_K3,scale3_mult_K4,scale3_mult_K4,Unnamed: 0.1,Kernel,Length_Scale_for_smoothing_term_1 (Days),Length_Scale_for_smoothing_term_2 (Days),Length_Scale_for_periodic_term_2 (Days),Period_Length_for_periodic_term_2 (Days),Unnamed: 0,add_scale1_K1,scale2_mult_K2,scale2_mult_K3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
34,,,,,,,,,,,,,,,,,,,,34,Scale(Mat1.5)+Scale(Per_Week*Mat2.5),38.5506009851338,123.214992852122,11819.5052566528,9.58993117235309,34.0,Mat1.5,Per_Week,Mat2.5,1129.82702636719,0.0101536037400364,0.0324528329074382,3.11306619644165,0.002525832504034
35,,,,,,,,,,,,,,,,,,,,35,Scale(Mat1.5)+Scale(Per_Month*Mat2.5),41.2992571250154,126.730205734571,1029.80712325485,24.248695688391,35.0,Mat1.5,Per_Month,Mat2.5,1303.16735839844,0.0108775552362203,0.0333786830306053,0.271234512329102,0.0063867135904729
36,,,,,,,,,,,,,,,,,,,,36,Scale(Mat2.5)+Scale(Per_Arb*RBF),95.1328858126092,4667.35791736179,5921.79423134415,4690.32454250477,36.0,Mat2.5,Per_Arb,RBF,1427.46179199219,0.0250564608722925,1.22930645942688,1.55970466136932,1.23535549640656
37,,,,,,,,,,,,,,,,,,,,37,Scale(Mat2.5)+Scale(Per_Week*RBF),95.3022668229207,3939.503777398,2648.37146462335,10.1737019651466,37.0,Mat2.5,Per_Week,RBF,1500.21179199219,0.0251010730862617,1.03760147094727,0.697538137435913,0.0026795882731676
38,,,,,,,,,,,,,,,,,,,,38,Scale(Mat2.5)+Scale(Per_Month*RBF),97.7619087905795,25.893530557001,684.856723467509,33.527309429314,38.0,Mat2.5,Per_Month,RBF,1630.34118652344,0.0257489029318094,0.0068199364468455,0.180380165576935,0.0088305501267313
39,,,,,,,,,,,,,,,,,,,,39,Scale(Mat2.5)+Scale(Per_Arb*Mat0.5),3156.00525637026,96.2564467500754,5978.0862926907,5938.73213435985,39.0,Mat2.5,Per_Arb,Mat0.5,1809.70336914063,0.831240653991699,0.0253523886203765,1.57453107833862,1.56416583061218
40,,,,,,,,,,,,,,,,,,,,40,Scale(Mat2.5)+Scale(Per_Week*Mat0.5),1796.91754533626,131.287149665532,19718.9000306306,7.24030535681924,40.0,Mat2.5,Per_Week,Mat0.5,1953.40747070313,0.473278969526291,0.0345789082348346,5.19363880157471,0.001906979130581
41,,,,,,,,,,,,,,,,,,,,41,Scale(Mat2.5)+Scale(Per_Month*Mat0.5),2107.7704749284,168.318784662971,1302.46411523113,28.6115614843587,41.0,Mat2.5,Per_Month,Mat0.5,1960.80639648438,0.555152595043182,0.0443324409425258,0.343047946691513,0.0075358217582106
42,,,,,,,,,,,,,,,,,,,,42,Scale(Mat2.5)+Scale(Per_Arb*Mat1.5),4794.16249204565,38.2249539527625,404.703035893263,261.932361496819,42.0,Mat2.5,Per_Arb,Mat1.5,2490.79516601563,1.26270473003387,0.0100678335875272,0.10659222304821,0.0689887404441833
43,,,,,,,,,,,,,,,,,,,,43,Scale(Mat2.5)+Scale(Per_Week*Mat1.5),96.8754360068727,49.9509839746684,15140.0846697489,12.9165219529356,43.0,Mat2.5,Per_Week,Mat1.5,2527.50024414063,0.0255154203623533,0.0131562799215316,3.98765301704407,0.003402002621442
44,,,,,,,,,,,,,,,,,,,,44,Scale(Mat2.5)+Scale(Per_Month*Mat1.5),104.099146076926,57.1318378415371,3054.77432180334,21.8470528026418,44.0,Mat2.5,Per_Month,Mat1.5,2968.09106445313,0.027418028563261,0.015047600492835,0.804578065872192,0.0057541597634553
45,,,,,,,,,,,,,,,,,,,,45,Scale(Mat2.5)+Scale(Per_Arb*Mat2.5),13981.3887176514,130.175971766313,1.78690554686216,307.682334330347,45.0,Mat2.5,Per_Arb,Mat2.5,3010.30004882813,3.68247127532959,0.0342862419784069,0.0004706419713329,0.0810385420918464
46,,,,,,,,,,,,,,,,,,,,46,Scale(Mat2.5)+Scale(Per_Week*Mat2.5),95.3753628156803,115.516165901113,13417.9801940918,8.43175377324211,46.0,Mat2.5,Per_Week,Mat2.5,4416.419921875,0.0251203253865242,0.0304250866174697,3.53407859802246,0.0022207873407751
47,,,,,,,,,,,,,,,,,,,,47,Scale(Mat2.5)+Scale(Per_Month*Mat2.5),97.8831861880087,117.569770095525,1923.24790128072,19.4684415901149,47.0,Mat2.5,Per_Month,Mat2.5,4672.14892578125,0.0257808454334735,0.0309659726917743,0.506552338600159,0.0051276721060276
48,,,,,,,,,,,,,,,,,,,,48,Scale(RBF)+Scale(Mat2.5)+Scale(Per_Month)+Scale(Per_Arb*RBF),,,,,,,,,,,,,
