path_location,Kernel,BIC
"(4, 6)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Min',-2254.7607421875
"(0, 7)",'RBF+Per_Arb',-2054.43896484375
"(1, 7)",'RBF+AR2+Per_Arb',-2287.36474609375
"(2, 7)",'RBF+AR2*Per_Year+Per_Arb',-2283.25830078125
"(3, 7)",'RBF+AR2*Per_Year*RBF+Per_Arb',-2272.854248046875
"(4, 7)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Arb',-2272.40673828125
"(0, 8)",'RBF+Per_Year',-2056.407958984375
"(1, 8)",'RBF+AR2+Per_Year',-2301.0576171875
"(2, 8)",'RBF+AR2*Per_Year+Per_Year',
"(3, 8)",'RBF+AR2*Per_Year*RBF+Per_Year',
"(4, 8)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Year',-1583.4102783203125
"(0, 9)",'RBF+Per_Season',-2004.644287109375
"(1, 9)",'RBF+AR2+Per_Season',-2298.9853515625
"(2, 9)",'RBF+AR2*Per_Year+Per_Season',-2312.504150390625
"(3, 9)",'RBF+AR2*Per_Year*RBF+Per_Season',-2322.7138671875
"(4, 9)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Season',-2275.82275390625
"(0, 10)",'RBF+Per_Month',-1983.417724609375
"(1, 10)",'RBF+AR2+Per_Month',-2293.90185546875
"(2, 10)",'RBF+AR2*Per_Year+Per_Month',-2306.33837890625
"(3, 10)",'RBF+AR2*Per_Year*RBF+Per_Month',-2333.310302734375
"(4, 10)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Month',-2335.052001953125
"(0, 11)",'RBF+Per_Week',
"(1, 11)",'RBF+AR2+Per_Week',
"(2, 11)",'RBF+AR2*Per_Year+Per_Week',
"(3, 11)",'RBF+AR2*Per_Year*RBF+Per_Week',
"(4, 11)",'RBF+AR2*Per_Year*RBF*Mat_1.5+Per_Week',
"(0, 12)",'RBF*RBF',-2172.785888671875
"(1, 12)",'RBF+AR2*RBF',-2301.108642578125
"(2, 12)",'RBF+AR2*Per_Year*RBF',-2346.2119140625
"(3, 12)",'RBF+AR2*Per_Year*RBF*RBF',-1994.4156494140625
"(4, 12)",'RBF+AR2*Per_Year*RBF*Mat_1.5*RBF',-2350.95361328125
"(0, 13)",'RBF*Mat_2.5',-2110.67431640625
"(1, 13)",'RBF+AR2*Mat_2.5',-2301.251220703125
"(2, 13)",'RBF+AR2*Per_Year*Mat_2.5',
"(3, 13)",'RBF+AR2*Per_Year*RBF*Mat_2.5',-2240.3818359375
"(4, 13)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Mat_2.5',-2335.25537109375
"(0, 14)",'RBF*Mat_1.5',
"(1, 14)",'RBF+AR2*Mat_1.5',-2301.606689453125
"(2, 14)",'RBF+AR2*Per_Year*Mat_1.5',-2004.7393798828125
"(3, 14)",'RBF+AR2*Per_Year*RBF*Mat_1.5',-2355.5380859375
"(4, 14)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Mat_1.5',-1995.5430908203125
"(0, 15)",'RBF*Mat_0.5',-1435.929443359375
"(1, 15)",'RBF+AR2*Mat_0.5',
"(2, 15)",'RBF+AR2*Per_Year*Mat_0.5',
"(3, 15)",'RBF+AR2*Per_Year*RBF*Mat_0.5',
"(4, 15)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Mat_0.5',-1548.159423828125
"(0, 16)",'RBF*RQ',-1684.920166015625
"(1, 16)",'RBF+AR2*RQ',-2296.720458984375
"(2, 16)",'RBF+AR2*Per_Year*RQ',-2322.4228515625
"(3, 16)",'RBF+AR2*Per_Year*RBF*RQ',-1983.737548828125
"(4, 16)",'RBF+AR2*Per_Year*RBF*Mat_1.5*RQ',-2281.3291015625
"(0, 17)",'RBF*AR2',-2267.7333984375
"(1, 17)",'RBF+AR2*AR2',-2291.00048828125
"(2, 17)",'RBF+AR2*Per_Year*AR2',-2266.725341796875
"(3, 17)",'RBF+AR2*Per_Year*RBF*AR2',-2263.320556640625
"(4, 17)",'RBF+AR2*Per_Year*RBF*Mat_1.5*AR2',-2260.436279296875
"(0, 18)",'RBF*Min',415.72601318359375
"(1, 18)",'RBF+AR2*Min',-2299.828125
"(2, 18)",'RBF+AR2*Per_Year*Min',-2180.2216796875
"(3, 18)",'RBF+AR2*Per_Year*RBF*Min',-2103.966552734375
"(4, 18)",'RBF+AR2*Per_Year*RBF*Mat_1.5*Min',
"(0, 19)",'RBF*Per_Arb',-504.87310791015625
"(1, 19)",'RBF+AR2*Per_Arb',-2298.499755859375
"(2, 19)",'RBF+AR2*Per_Year*Per_Arb',-2289.2294921875
"(3, 19)",'RBF+AR2*Per_Year*RBF*Per_Arb',-2286.12841796875
